exp_dt,K,C,T,S0,r,d,delta_raw,iv
2026-12-18,58.0,116.275,1.2712328767123289,169.84,0.045,0.0,0.9893,0.5131
2026-12-18,59.0,115.625,1.2712328767123289,169.84,0.045,0.0,0.9885,0.3827
2026-12-18,60.0,115.0,1.2712328767123289,169.84,0.045,0.0,0.9878,0.5342
2026-12-18,61.0,113.975,1.2712328767123289,169.84,0.045,0.0,0.987,0.4566
2026-12-18,62.0,113.4,1.2712328767123289,169.84,0.045,0.0,0.9861,0.5104
2026-12-18,63.0,111.0,1.2712328767123289,169.84,0.045,0.0,0.9853,0.0
2026-12-18,64.0,110.725,1.2712328767123289,169.84,0.045,0.0,0.9844,0.0
2026-12-18,65.0,109.95,1.2712328767123289,169.84,0.045,0.0,0.9835,0.37
2026-12-18,66.0,109.30000000000001,1.2712328767123289,169.84,0.045,0.0,0.9825,0.5307
2026-12-18,67.0,107.3,1.2712328767123289,169.84,0.045,0.0,0.9816,0.0
2026-12-18,68.0,107.575,1.2712328767123289,169.84,0.045,0.0,0.9805,0.4552
2026-12-18,69.0,107.125,1.2712328767123289,169.84,0.045,0.0,0.9795,0.503
2026-12-18,70.0,105.525,1.2712328767123289,169.84,0.045,0.0,0.9784,0.4222
2026-12-18,71.0,105.6,1.2712328767123289,169.84,0.045,0.0,0.9773,0.5205
2026-12-18,72.0,104.725,1.2712328767123289,169.84,0.045,0.0,0.9761,0.5192
2026-12-18,73.0,103.7,1.2712328767123289,169.84,0.045,0.0,0.975,0.5068
2026-12-18,74.0,101.3,1.2712328767123289,169.84,0.045,0.0,0.9737,0.0
2026-12-18,75.0,100.75,1.2712328767123289,169.84,0.045,0.0,0.9724,0.3915
2026-12-18,76.0,100.80000000000001,1.2712328767123289,169.84,0.045,0.0,0.9711,0.4834
2026-12-18,77.0,99.55,1.2712328767123289,169.84,0.045,0.0,0.9698,0.4542
2026-12-18,78.0,99.30000000000001,1.2712328767123289,169.84,0.045,0.0,0.9684,0.4973
2026-12-18,79.0,98.35,1.2712328767123289,169.84,0.045,0.0,0.9669,0.4908
2026-12-18,80.0,96.675,1.2712328767123289,169.84,0.045,0.0,0.9655,0.4859
2026-12-18,81.0,96.44999999999999,1.2712328767123289,169.84,0.045,0.0,0.9639,0.478
2026-12-18,82.0,94.94999999999999,1.2712328767123289,169.84,0.045,0.0,0.9624,0.436
2026-12-18,83.0,94.0,1.2712328767123289,169.84,0.045,0.0,0.9607,0.4302
2026-12-18,84.0,93.92500000000001,1.2712328767123289,169.84,0.045,0.0,0.9591,0.4775
2026-12-18,85.0,92.925,1.2712328767123289,169.84,0.045,0.0,0.9574,0.4686
2026-12-18,86.0,92.05000000000001,1.2712328767123289,169.84,0.045,0.0,0.9556,0.4663
2026-12-18,87.0,90.675,1.2712328767123289,169.84,0.045,0.0,0.9538,0.4386
2026-12-18,88.0,90.2,1.2712328767123289,169.84,0.045,0.0,0.9519,0.4773
2026-12-18,89.0,88.75,1.2712328767123289,169.84,0.045,0.0,0.95,0.4242
2026-12-18,90.0,88.7,1.2712328767123289,169.84,0.045,0.0,0.948,0.4941
2026-12-18,91.0,86.35,1.2712328767123289,169.84,0.045,0.0,0.946,0.3831
2026-12-18,92.0,86.92500000000001,1.2712328767123289,169.84,0.045,0.0,0.944,0.457
2026-12-18,93.0,86.775,1.2712328767123289,169.84,0.045,0.0,0.9418,0.4532
2026-12-18,94.0,85.1,1.2712328767123289,169.84,0.045,0.0,0.9397,0.4493
2026-12-18,95.0,84.325,1.2712328767123289,169.84,0.045,0.0,0.9374,0.4495
2026-12-18,96.0,82.825,1.2712328767123289,169.84,0.045,0.0,0.9352,0.4505
2026-12-18,97.0,81.875,1.2712328767123289,169.84,0.045,0.0,0.9328,0.4465
2026-12-18,98.0,81.8,1.2712328767123289,169.84,0.045,0.0,0.9305,0.4443
2026-12-18,99.0,80.975,1.2712328767123289,169.84,0.045,0.0,0.928,0.444
2026-12-18,100.0,80.19999999999999,1.2712328767123289,169.84,0.045,0.0,0.9255,0.4434
2026-12-18,101.0,79.35,1.2712328767123289,169.84,0.045,0.0,0.923,0.4419
2026-12-18,102.0,78.625,1.2712328767123289,169.84,0.045,0.0,0.9204,0.4437
2026-12-18,103.0,78.475,1.2712328767123289,169.84,0.045,0.0,0.9178,0.4394
2026-12-18,104.0,77.67500000000001,1.2712328767123289,169.84,0.045,0.0,0.9151,0.4384
2026-12-18,105.0,76.175,1.2712328767123289,169.84,0.045,0.0,0.9123,0.4381
2026-12-18,106.0,75.35,1.2712328767123289,169.84,0.045,0.0,0.9095,0.4369
2026-12-18,107.0,74.725,1.2712328767123289,169.84,0.045,0.0,0.9067,0.4401
2026-12-18,108.0,73.825,1.2712328767123289,169.84,0.045,0.0,0.9038,0.4356
2026-12-18,109.0,73.0,1.2712328767123289,169.84,0.045,0.0,0.9008,0.4333
2026-12-18,110.0,71.55000000000001,1.2712328767123289,169.84,0.045,0.0,0.8978,0.4338
2026-12-18,111.0,71.475,1.2712328767123289,169.84,0.045,0.0,0.8948,0.4321
2026-12-18,112.0,70.125,1.2712328767123289,169.84,0.045,0.0,0.8916,0.4358
2026-12-18,113.0,69.975,1.2712328767123289,169.84,0.045,0.0,0.8885,0.4311
2026-12-18,114.0,69.19999999999999,1.2712328767123289,169.84,0.045,0.0,0.8853,0.4291
2026-12-18,115.0,68.425,1.2712328767123289,169.84,0.045,0.0,0.882,0.429
2026-12-18,116.0,67.675,1.2712328767123289,169.84,0.045,0.0,0.8787,0.4281
2026-12-18,117.0,66.925,1.2712328767123289,169.84,0.045,0.0,0.8753,0.4265
2026-12-18,118.0,66.175,1.2712328767123289,169.84,0.045,0.0,0.8719,0.4248
2026-12-18,119.0,65.5,1.2712328767123289,169.84,0.045,0.0,0.8685,0.4255
2026-12-18,120.0,64.75,1.2712328767123289,169.84,0.045,0.0,0.865,0.4242
